iter	Passed	Remaining
0	1	106
1	2	99
2	2	92
3	3	85
4	4	83
5	5	83
6	6	84
7	7	81
8	7	79
9	8	77
10	9	76
11	10	75
12	11	77
13	12	78
14	13	78
15	14	77
16	15	76
17	16	75
18	17	74
19	18	72
20	19	71
21	19	70
22	20	69
23	21	68
24	22	67
25	23	66
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	28	60
32	29	59
33	30	58
34	31	57
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	35	51
41	36	49
42	37	49
43	37	48
44	38	47
45	39	46
46	40	45
47	41	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	51	34
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	63	20
76	64	19
77	65	18
78	66	17
79	67	16
80	68	15
81	68	15
82	69	14
83	70	13
84	71	12
85	72	11
86	73	10
87	74	10
88	74	9
89	75	8
90	76	7
91	77	6
92	78	5
93	78	5
94	79	4
95	80	3
96	81	2
97	82	1
98	83	0
99	84	0
